Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_B6_CSF_257-15.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.94841e+08
A0A075B6H9	A0A075B6H9				2.79796e+07
A0A075B6I0	A0A075B6I0				4.52413e+07
A0A075B6I1	A0A075B6I1				2.23541e+07
A0A075B6I9	A0A075B6I9				8.35488e+07
A0A075B6J1	A0A075B6J1				7.35265e+06
A0A075B6J9	A0A075B6J9				3.57802e+06
A0A075B6K2	A0A075B6K2				1.46857e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.10298e+07
A0A075B6K5	P01715;P01717;P01718;P80748;A0A075B6K0;A0A075B6K2;A0A075B6K4;A0A075B6K5				6.50458e+07
A0A075B6K6	A0A075B6K6				3.53748e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				2.82473e+08
A0A075B6R2	A0A075B6R2				1.73643e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.50837e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.33075e+08
A0A075B6S5	A0A075B6S5;A0A0C4DH67;A0A0C4DH69				2.32413e+07
A0A087WSX0	A0A087WSX0;A0A0G2JS06				5.38734e+06
A0A087WSY4	A0A087WSY4				9.08515e+06
A0A087WSY6	A0A087WSY6				1.60454e+08
A0A087WSZ0	A0A087WSZ0				2.68042e+06
A0A087WW87;P01614	P01614;A0A087WW87				207581
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.4941e+08
A0A0A0MS15	A0A0A0MS15				3.5421e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				6.48666e+06
A0A0A0MT89	A0A0A0MT89				1.13949e+07
A0A0B4J1U7	A0A0B4J1U7				3.9842e+07
A0A0B4J1V0	A0A0B4J1V0				7.78004e+06
A0A0B4J1V2	A0A0B4J1V2				1.29043e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.47102e+08
A0A0B4J1Y8	A0A0B4J1Y8				2.15602e+07
A0A0B4J1Y9	A0A0B4J1Y9				1.81264e+08
A0A0C4DH24	A0A0C4DH24				6.57997e+06
A0A0C4DH25	A0A0C4DH25				3.06385e+07
A0A0C4DH29	A0A0C4DH29				290203
A0A0C4DH31	A0A0C4DH31				3.74357e+06
A0A0C4DH33	A0A0C4DH33				733064
A0A0C4DH34	A0A0C4DH34				1.15781e+07
A0A0C4DH35	A0A0C4DH35				2.64261e+06
A0A0C4DH36	A0A0C4DH36				2.40277e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				2.7747e+08
A0A0C4DH43	A0A0C4DH43				2.68903e+07
A0A0J9YX35	A0A0J9YX35				1.59161e+07
A0A0J9YXX1	A0A0J9YXX1				8.84852e+07
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				8.40505e+08
A1L4H1	A1L4H1				2.71158e+06
A2RU67	A2RU67				155107
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.89401e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				168686
A6NGN9	A6NGN9				1.04425e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				2.27237e+06
A6NL88	A6NL88				2.08013e+06
A6NLU5	A6NLU5				1.18804e+07
A6NML5	A6NML5				3.8084e+06
A8MTW9	A8MTW9				5.67521e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				2.63043e+06
C9JVW0	C9JVW0				9.4606e+06
E2RYF7	E2RYF7				2.91066e+06
I3L3R5	I3L3R5				1.6697e+06
O00115;O00115-2	O00115;O00115-2				4.97461e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				3.70485e+07
O00187;O00187-2	O00187;O00187-2				1.99963e+06
O00244	O00244				924934
O00264	O00264;O00264-2				4.3448e+06
O00292;O00292-2;O75610	O00292;O75610;O00292-2				1.83221e+06
O00299	O00299				614673
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.44027e+06
O00391	O00391;O00391-2				1.84278e+07
O00451	O00451;O00451-2;O00451-3				1.2266e+07
O00461	O00461				4.04933e+06
O00462	O00462				5.86063e+06
O00468-6	O00468-6;O00468-7				2.54706e+07
O00533	O00533				1.02764e+07
O00533-2	O00533;O00533-2				2.35682e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				396473
O00567	O00567				274296
O00584	O00584				1.9289e+07
O00754;O00754-2	O00754;O00754-2				4.30474e+06
O14498	O14498				2.51374e+07
O14514	O14514				2.08059e+06
O14522	O14522;O14522-1				1.02904e+06
O14525;O14525-2	O14525;O14525-2;O14525-3				958499
O14558	O14558				1.04067e+06
O14594	O14594				1.26654e+08
O14668	O14668				3.42691e+06
O14672	O14672				2.52712e+06
O14737;O14737-2	O14737;O14737-2				109414
O14745	O14745				123972
O14773	O14773				7.56914e+06
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				6.10126e+06
O14791-2	O14791;O14791-2;O14791-3				1.06972e+07
O14793	O14793				2.39767e+06
O14917;O14917-2	O14917;O14917-2				3.4711e+06
O14958;O14958-2	O14958;O14958-2				19014.5
O14960	O14960				492662
O15031	O15031				2.09531e+07
O15041;O15041-2	O15041;O15041-2				570242
O15197;O15197-3	O15197;O15197-3				5.15324e+06
O15204;O15204-2	O15204;O15204-2				1.43173e+06
O15230	O15230				1.63101e+06
O15232;O15232-2	O15232;O15232-2				2.9968e+06
O15240	O15240				8.26078e+07
O15335	O15335				5.60894e+06
O15354	O15354				1.60837e+07
O15394	O15394;O15394-2				5.111e+07
O15400;O15400-2	O15400;O15400-2				459311
O15466;O15466-2	O15466;O15466-2				2.2573e+06
O15498;O15498-2	O15498;O15498-2				70746.8
O43155	O43155				426832
O43157	O43157;O43157-2;O43157-3				4.1522e+06
O43173	O43173				3.93022e+06
O43240	O43240				1.15251e+06
O43278;O43278-2	O43278;O43278-2				2.41673e+06
O43291	O43291				1.12691e+07
O43300	O43300				2.54314e+06
