Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_E6_129188085.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.03249e+08
A0A075B6I9	A0A075B6I9				7.08349e+07
A0A075B6J9	A0A075B6J9				3.2746e+06
A0A075B6K2	A0A075B6K2				1.70835e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				3.99111e+06
A0A075B6K5	A0A075B6K5				2.06812e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				9.34561e+07
A0A075B6Q5	A0A075B6Q5				1.92588e+06
A0A075B6R2	A0A075B6R2				4.90467e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.04821e+08
A0A075B6S2	A0A075B6S2;A2NJV5				3.31512e+08
A0A075B6S5	A0A075B6S5				1.71647e+06
A0A087WSX0	A0A087WSX0				4.44596e+06
A0A087WSY6	A0A087WSY6				6.08148e+08
A0A087WSZ0	A0A087WSZ0				1.51548e+06
A0A087WW87;P01614	P01614;A0A087WW87				230815
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.59301e+08
A0A0A0MS15	A0A0A0MS15				6.83622e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.90481e+06
A0A0A0MT89	A0A0A0MT89				5.22396e+06
A0A0B4J1U7	A0A0B4J1U7				6.80661e+06
A0A0B4J1V0	A0A0B4J1V0				4.11867e+06
A0A0B4J1V6	A0A0B4J1V6				1.30693e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				7.93244e+07
A0A0B4J1Y8	A0A0B4J1Y8				2.86767e+06
A0A0B4J1Y9	A0A0B4J1Y9				1.13413e+08
A0A0C4DH24	A0A0C4DH24				1.57416e+07
A0A0C4DH25	A0A0C4DH25				2.2023e+07
A0A0C4DH33	A0A0C4DH33				464799
A0A0C4DH34	A0A0C4DH34				1.84661e+07
A0A0C4DH35	A0A0C4DH35				4.32941e+06
A0A0C4DH36	A0A0C4DH36				9.67855e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				9.07167e+07
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08				3.21048e+07
A0A0C4DH43	A0A0C4DH43				6.14724e+06
A0A0C4DH67	A0A0C4DH67				1.66737e+07
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73				1.16987e+07
A0A0J9YX35	A0A0J9YX35				7.92015e+06
A0A0J9YXX1	A0A0J9YXX1				1.31773e+07
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				6.25324e+07
A1L4H1	A1L4H1				1.43949e+07
A2RU67	A2RU67				299334
A5D6W6	A5D6W6				2.56809e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.55967e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				283974
A6NGN9	A6NGN9				7.33125e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				3.72056e+06
A6NL88	A6NL88				923420
A6NLU5	A6NLU5				1.28994e+07
A6NML5	A6NML5				4.7963e+06
B9A064;P0DOX8	B9A064;P0DOX8				1.81593e+08
C9JVW0	C9JVW0				1.2825e+07
I3L3R5	I3L3R5				1.04783e+06
O00115;O00115-2	O00115;O00115-2				4.69588e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.39921e+07
O00187;O00187-2	O00187;O00187-2				2.69971e+06
O00244	O00244				704428
O00264	O00264;O00264-2				4.9411e+06
O00292;O00292-2	O00292;O00292-2				1.30696e+06
O00299	O00299				2.94439e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.9138e+06
O00391	O00391;O00391-2				1.70489e+07
O00451	O00451;O00451-2;O00451-3				2.05522e+07
O00461	O00461				1.04739e+07
O00462	O00462				5.91814e+06
O00468-6	O00468-6;O00468-7				1.76072e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				55825.3
O00533	O00533				6.26813e+06
O00533-2	O00533;O00533-2				1.70328e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.03928e+06
O00567	O00567				165331
O00584	O00584				1.44766e+07
O00754;O00754-2	O00754;O00754-2				3.35557e+06
O14498	O14498				3.14829e+07
O14514	O14514				2.4845e+06
O14522;O14522-1	O14522;O14522-1				1.86478e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				93102.8
O14594	O14594				4.37572e+07
O14657	O14657				90649.7
O14672	O14672				1.30965e+07
O14773	O14773				1.16833e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				9.8704e+06
O14791-2	O14791;O14791-2;O14791-3				2.22486e+07
O14793	O14793				1.6525e+06
O14917;O14917-2	O14917;O14917-2				3.95879e+06
O15031	O15031				1.06045e+07
O15041;O15041-2	O15041;O15041-2				89775.3
O15126;O15126-2	O15126;O15126-2				265177
O15197;O15197-3	O15197;O15197-3				8.19544e+06
O15204;O15204-2	O15204;O15204-2				2.38812e+06
O15230	O15230				3.3802e+06
O15232;O15232-2	O15232;O15232-2				2.15384e+06
O15240	O15240				1.44143e+08
O15335	O15335				3.33328e+06
O15354	O15354				2.51877e+07
O15394	O15394;O15394-2				4.08926e+07
O15400;O15400-2	O15400;O15400-2				270916
O15466;O15466-2	O15466;O15466-2				1.83525e+06
O15540;O15540-2	O15540;O15540-2				3.86553e+06
O43155	O43155				800823
O43157	O43157;O43157-2;O43157-3				3.58196e+06
O43173	O43173				3.28426e+06
O43240	O43240				1.18918e+06
O43278;O43278-2	O43278;O43278-2				2.92911e+06
O43291	O43291				8.49042e+06
O43300	O43300				3.33762e+06
O43405	O43405;O43405-2				5.43141e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				2.85438e+07
O43505	O43505				4.17963e+08
O43508	O43508;O43508-2				1.06445e+06
O43508-2;O75888;O75888-2;O75888-4;O75888-5	O75888;O43508-2;O75888-2;O75888-4;O75888-5				1.28731e+06
O43529	O43529				7.1157e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				3.43055e+06
O43567	O43567				9.25729e+06
O43736;O43736-2	O43736;O43736-2				148427
O43827	O43827				5.5505e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				215587
O43854;O43854-2	O43854;O43854-2				1.17664e+06
O43866	O43866				593369
