Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G6_168744541.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				8.54296e+08
A0A075B6H9	A0A075B6H9				6.9801e+07
A0A075B6I1	A0A075B6I1				1.12485e+07
A0A075B6J1	A0A075B6J1				6.68858e+06
A0A075B6K0	P01717;P01718;A0A075B6K0				6.75946e+07
A0A075B6K2	A0A075B6K2				1.05102e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				9.88896e+06
A0A075B6K5	P01715;P01717;P01718;P80748;A0A075B6K0;A0A075B6K2;A0A075B6K4;A0A075B6K5				6.09389e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				3.4737e+08
A0A075B6R2	A0A075B6R2				1.73135e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.80163e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.39725e+08
A0A075B6S5	A0A075B6S5				2.90917e+06
A0A087WSX0	A0A087WSX0				4.01369e+06
A0A087WSY6	A0A087WSY6				4.83963e+08
A0A087WSZ0	A0A087WSZ0				3.81908e+06
A0A087WW87;P01614	P01614;A0A087WW87				1.33138e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.67708e+08
A0A0A0MS15	A0A0A0MS15				3.42705e+06
A0A0A0MT36	A0A0A0MT36;A0A0C4DH26				2.7485e+06
A0A0A0MT89	A0A0A0MT89				753756
A0A0B4J1U7	A0A0B4J1U7				1.70818e+07
A0A0B4J1V0	A0A0B4J1V0				2.13084e+08
A0A0B4J1V2	A0A0B4J1V2				8.5017e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.4736e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.07683e+07
A0A0B4J1Y9	A0A0B4J1Y9				2.4519e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				1.95268e+06
A0A0C4DH25	A0A0C4DH25				3.28884e+07
A0A0C4DH29	P23083;P01743;A0A0C4DH29;A0A0C4DH31;A0A0C4DH33;A0A0J9YVY3;P0DP01				6.46947e+08
A0A0C4DH31	A0A0C4DH31				1.21958e+06
A0A0C4DH33	A0A0C4DH33				1.8052e+06
A0A0C4DH34	A0A0C4DH34				1.16101e+07
A0A0C4DH35	A0A0C4DH35				3.31165e+06
A0A0C4DH36	A0A0C4DH36				5.8519e+06
A0A0C4DH38	A0A0C4DH38				9.30416e+08
A0A0C4DH43	A0A0C4DH43				9.84029e+06
A0A0C4DH67	A0A0C4DH67				3.98599e+07
A0A0C4DH72	P01599;A0A0C4DH72				2.20742e+07
A0A0G2JMI3	A0A0G2JMI3				1.78879e+07
A0A0G2JS06	A0A0G2JS06				2.32266e+06
A0A0J9YX35	A0A0J9YX35				6.7284e+06
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				7.8845e+07
A0A1B0GUS4;P68036	P68036;A0A1B0GUS4;P68036-2;P68036-3				1.52093e+06
