Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_G8_82872412.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				2.66834e+08
A0A075B6H9	A0A075B6H9				3.43451e+07
A0A075B6I0	A0A075B6I0				2.70429e+07
A0A075B6I1	A0A075B6I1				5.02851e+06
A0A075B6I9	A0A075B6I9				7.06315e+07
A0A075B6J9	A0A075B6J9				1.4966e+06
A0A075B6K2	A0A075B6K2				2.14807e+06
A0A075B6K4	P01715;A0A075B6K4				2.12889e+07
A0A075B6K5	A0A075B6K5				2.7807e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				4.09422e+08
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				2.406e+07
A0A075B6S2	A0A075B6S2;A2NJV5				3.94647e+08
A0A087WSX0;A0A0G2JS06	A0A087WSX0;A0A0G2JS06				3.07562e+06
A0A087WSY6	A0A087WSY6				3.15654e+08
A0A087WW87;P01614	P01614;A0A087WW87				216984
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.47448e+08
A0A0A0MS15	A0A0A0MS15				7.46037e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.81299e+06
A0A0B4J1U7	A0A0B4J1U7				1.5128e+07
A0A0B4J1V0	A0A0B4J1V0				8.16527e+07
A0A0B4J1V2	A0A0B4J1V2				4.31878e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				9.41124e+07
A0A0B4J1Y8	A0A0B4J1Y8				1.31781e+07
A0A0B4J1Y9	A0A0B4J1Y9				4.43889e+06
A0A0C4DH24	A0A0C4DH24				9.16768e+06
A0A0C4DH25	A0A0C4DH25				1.74986e+07
A0A0C4DH33	A0A0C4DH33				6.14685e+06
A0A0C4DH34	A0A0C4DH34				1.04303e+07
A0A0C4DH35	A0A0C4DH35				2.61125e+06
A0A0C4DH36	A0A0C4DH36				8.53662e+06
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				3.83357e+07
A0A0C4DH43;P01814	P01814;A0A0C4DH43				2.05496e+06
A0A0C4DH67	A0A0C4DH67				3.99619e+06
A0A0J9YX35	A0A0J9YX35				7.8004e+06
A0A1B0GUS4;P68036;P68036-2;P68036-3	P68036;A0A1B0GUS4;P68036-2;P68036-3				2.96722e+06
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				2.19494e+06
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.07496e+08
A1L4H1	A1L4H1				1.98678e+07
A2RU67	A2RU67				641514
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.89228e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				582768
A6NGN9	A6NGN9				7.95197e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.40185e+06
A6NL88	A6NL88				3.15636e+06
A6NLU5	A6NLU5				2.11144e+07
A6NML5	A6NML5				4.35406e+06
A8MTW9	A8MTW9				2.24771e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				747330
B9A064;P0DOX8	B9A064;P0DOX8				2.97673e+08
C9JVW0	C9JVW0				1.62623e+07
I3L3R5	I3L3R5				709863
O00115;O00115-2	O00115;O00115-2				7.85855e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				8.49416e+07
O00187;O00187-2	O00187;O00187-2				5.19768e+06
O00230	O00230				343158
O00244	O00244				2.13792e+06
O00264	O00264;O00264-2				3.57806e+06
O00292;O00292-2	O00292;O00292-2				2.75265e+06
O00299	O00299				2.89883e+06
O00339;O00339-2	O00339;O00339-2;O00339-3				2.01441e+06
O00391	O00391;O00391-2				4.61621e+07
O00451	O00451;O00451-2;O00451-3				2.00144e+07
O00461	O00461				1.47089e+07
O00462	O00462				5.96085e+06
O00468-6	O00468-6;O00468-7				3.67446e+07
O00533	O00533				3.29582e+06
O00533-2	O00533;O00533-2				2.97875e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				2.63019e+06
O00584	O00584				2.16514e+07
O00754;O00754-2	O00754;O00754-2				2.68355e+06
O14498	O14498				8.95361e+07
O14514	O14514				2.15644e+06
O14522;O14522-1	O14522;O14522-1				5.09776e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				1.08981e+06
O14594	O14594				7.96815e+07
O14657	O14657				481420
O14668;O14668-2	O14668;O14668-2				1.82697e+06
O14672	O14672				5.73946e+06
O14733;O14733-2;O14733-3;O14733-4	O14733;O14733-2;O14733-3;O14733-4				7.25622e+07
O14737;O14737-2	O14737;O14737-2				247718
O14745	O14745				381057
O14773	O14773				1.83404e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				1.74407e+07
O14791;O14791-2	O14791;O14791-2;O14791-3				3.13488e+07
O14793	O14793				3.32404e+07
O14917;O14917-2	O14917;O14917-2				4.60084e+06
O14960	O14960				2.08872e+06
O15031	O15031				2.82067e+07
O15041;O15041-2	O15041;O15041-2				768758
O15123;O15123-2;O15123-3	O15123;O15123-2;O15123-3				754485
O15197;O15197-3	O15197;O15197-3				1.2125e+07
O15204;O15204-2	O15204;O15204-2				4.95905e+06
O15230	O15230				2.62309e+06
O15232;O15232-2	O15232;O15232-2				3.3951e+06
O15240	O15240				2.95719e+08
O15335	O15335				8.61333e+06
O15354	O15354				5.15073e+07
O15394	O15394;O15394-2				3.8265e+07
O15466;O15466-2	O15466;O15466-2				2.10135e+06
O15540;O15540-2	O15540;O15540-2				3.08259e+06
O43157	O43157;O43157-2;O43157-3				4.08637e+06
O43173	O43173				3.7328e+06
O43240	O43240				3.89741e+06
O43278;O43278-2	O43278;O43278-2				3.29713e+06
O43291	O43291				8.70968e+06
O43300	O43300				7.53826e+06
O43405	O43405;O43405-2				2.74333e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				6.86239e+07
O43505	O43505				9.27156e+08
O43508	O43508				1.05554e+06
O43529	O43529				7.16089e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.03841e+07
O43567	O43567				2.19894e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				1.37262e+06
O43736;O43736-2	O43736;O43736-2				153244
O43827	O43827				6.09711e+06
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.22799e+06
O43866	O43866				9.91179e+06
O43897;O43897-2	O43897;O43897-2				1.68272e+06
O43909	O43909				1.82269e+06
O43916	O43916				2.77074e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				2.9302e+07
O60242	O60242				3.0201e+06
O60243	O60243;O60243-2				8.94043e+06
O60245;O60245-2	O60245;O60245-2				4.53066e+06
O60279	O60279				2.9054e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				146596
O60330;O60330-2	O60330;Q9Y5G5;Q9Y5G8;Q9Y5G9;O60330-2;Q9Y5G5-2;Q9Y5G8-2;Q9Y5G9-2				2.22821e+06
O60449;O60449-2;O60449-3	O60449;O60449-2;O60449-3				1.19134e+06
O60462;O60462-2;O60462-3;O60462-4;O60462-5	O60462;O60462-2;O60462-3;O60462-4;O60462-5;O60462-6				1.02197e+07
O60476	O60476				4.27094e+06
O60512	O60512				5.5472e+06
O60565	O60565				509268
O60568	O60568				5.0198e+06
O60613	O60613				3.23079e+06
O60883	O60883				1.34716e+08
O60888-3	O60888-3				6.20804e+06
O60939	O60939				4.32501e+06
O75051;O75051-2	O75051;O75051-2				1.22449e+06
O75063	O75063				5.07801e+06
O75071	O75071				8.77156e+06
O75077;O75077-2;O75077-3	O75077;O75077-2;O75077-3				2.72234e+06
O75078	O75078;O75078-2				6.54182e+06
O75083	O75083;O75083-3				4.14764e+06
O75084;Q14332	O75084;Q14332				379099
O75144;O75144-2	O75144;O75144-2;O75144-3				4.66985e+07
O75173;O75173-2	O75173;O75173-2				2.19173e+07
O75326	O75326;O75326-2				6.35995e+07
O75339	O75339				3.34617e+06
O75347;O75347-2	O75347;O75347-2				417116
O75354;O75354-2;O75354-3	O75354;O75354-2;O75354-3				1.69221e+06
O75368	O75368				2.07382e+06
O75487;O75487-2	O75487;O75487-2				2.75028e+06
O75493	O75493				3.041e+07
O75503	O75503				6.58401e+06
O75509	O75509				2.71439e+07
O75629	O75629				621047
O75636;O75636-2	O75636;O75636-2				1.78524e+06
O75711	O75711				3.89727e+08
O75752	O75752				3.92324e+06
O75787;O75787-2	O75787;O75787-2				5.80789e+07
O75874	O75874				1.42447e+06
O75882-2;O75882-3	O75882;O75882-2;O75882-3				2.91989e+07
O75973	O75973				1.73294e+06
O75976	O75976				1.40524e+07
O76061	O76061				6.32689e+06
O76070	O76070				3.52335e+06
O94760	O94760				1.57975e+07
O94766	O94766;Q9NPZ5				2.53596e+06
O94769	O94769;O94769-2				2.5752e+07
O94772;O94772-2	O94772;O94772-2				1.66557e+08
O94779;O94779-2;O94779-4	O94779;O94779-2;O94779-4				894876
O94856-11;O94856-3;O94856-8	O94856;O94856-10;O94856-11;O94856-12;O94856-13;O94856-3;O94856-4;O94856-5;O94856-6;O94856-7;O94856-8;O94856-9				5.45128e+07
O94898	O94898				1.17845e+06
O94910	O94910;O94910-2				1.1233e+07
O94919	O94919				6.3612e+07
O94933	O94933				2.20653e+06
O94973;O94973-2	O94973;O94973-2				804120
O94985-2	O94985;O94985-2				5.77119e+08
O94991	O94991;O94991-2				8.63801e+06
O95084	O95084;O95084-2				2.51414e+06
O95157	O95157				1.0011e+06
O95158	O95158				2.60467e+07
O95185;O95185-2	O95185;O95185-2				4.1846e+06
O95196;O95196-2	O95196;O95196-2				9.33969e+06
O95206;O95206-2	O95206;O95206-2				5.39612e+06
O95297;O95297-2;O95297-3;O95297-4	O95297;O95297-2;O95297-3;O95297-4				768600
O95336	O95336				2.30774e+06
O95390	O95390				5.91567e+06
O95428;O95428-5;O95428-6	O95428;O95428-2;O95428-4;O95428-5;O95428-6				1.01068e+07
O95445	O95445;O95445-2				6.23154e+07
O95445-2	O95445-2				1.9022e+06
