Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C10_79069292.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.09185e+08
A0A075B6H9	A0A075B6H9				2.27154e+07
A0A075B6I0	A0A075B6I0				1.92564e+08
A0A075B6I1	A0A075B6I1				1.09947e+07
A0A075B6I9	A0A075B6I9				1.57587e+08
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				4.58186e+07
A0A075B6J9	A0A075B6J9				1.0814e+08
A0A075B6K2	A0A075B6K2				6.75246e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				1.20691e+07
A0A075B6K5	A0A075B6K5				5.07946e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				4.9563e+08
A0A075B6Q5	A0A075B6Q5				1.48767e+07
A0A075B6R2	A0A075B6R2				6.84401e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				7.02801e+07
A0A075B6S2	A0A075B6S2;A2NJV5				4.75979e+08
A0A075B6S5	A0A075B6S5				2.57737e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				1.09055e+07
A0A087WSY6	A0A087WSY6				5.32138e+08
A0A087WW87;P01614	P01614;A0A087WW87				1.47637e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				3.51559e+08
A0A0A0MS15	A0A0A0MS15				4.42637e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				4.17108e+06
A0A0A0MT89	A0A0A0MT89				4.12619e+06
A0A0B4J1U7	A0A0B4J1U7				1.69338e+08
A0A0B4J1V2	A0A0B4J1V2				1.98317e+07
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				3.57277e+08
A0A0B4J1Y8	A0A0B4J1Y8				3.01657e+07
A0A0B4J1Y9	A0A0B4J1Y9				8.14429e+08
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				5.43654e+06
A0A0C4DH24	A0A0C4DH24				1.57798e+07
A0A0C4DH25	A0A0C4DH25				6.89054e+07
A0A0C4DH31	A0A0C4DH31				1.49866e+06
A0A0C4DH33	A0A0C4DH33				6.29656e+06
A0A0C4DH34	A0A0C4DH34				3.606e+07
A0A0C4DH35	A0A0C4DH35				8.3081e+06
A0A0C4DH36	A0A0C4DH36				1.39182e+07
A0A0C4DH38	A0A0C4DH38				7.14038e+07
A0A0C4DH43	A0A0C4DH43				3.58045e+08
A0A0C4DH67	A0A0C4DH67				7.45407e+07
A0A0C4DH72	P01599;A0A0C4DH72				4.55193e+07
A0A0J9YX35	A0A0J9YX35				2.43691e+07
A0A0J9YXX1	A0A0J9YXX1				1.15415e+08
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				3.04308e+08
A1L4H1	A1L4H1				8.79959e+06
A5D6W6	A5D6W6				2.63099e+06
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				2.07699e+06
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				617885
A6NGN9	A6NGN9				1.15959e+07
A6NL88	A6NL88				3.75166e+06
A6NLU5	A6NLU5				3.53854e+07
A8MTW9	A8MTW9				3.39645e+06
B4DS77;B4DS77-2;B4DS77-3	B4DS77;B4DS77-2;B4DS77-3				977198
C9JVW0	C9JVW0				1.48831e+07
I3L3R5	I3L3R5				1.02598e+06
O00115;O00115-2	O00115;O00115-2				6.04329e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.15659e+07
O00187;O00187-2	O00187;O00187-2				3.60709e+06
O00264	O00264;O15173;O15173-2				3.27342e+06
O00299	O00299				2.87983e+06
O00339;O00339-2	O00339;O00339-2;O00339-3				3.07569e+06
O00391	O00391;O00391-2				3.12983e+07
O00451	O00451;O00451-2;O00451-3				1.91307e+07
O00461	O00461				1.81836e+07
O00462	O00462				8.10063e+06
O00468-6	O00468-6;O00468-7				2.58409e+07
O00533	O00533;O00533-2				1.99006e+08
O00584	O00584				2.72485e+07
O00754;O00754-2	O00754;O00754-2				3.25659e+06
O14498	O14498				1.53081e+08
O14514	O14514				3.29324e+06
O14522;O14522-1	O14522;O14522-1				2.96469e+06
O14594	O14594				3.10117e+07
O14668;O14668-2	O14668;O14668-2				2.26488e+06
O14672	O14672				7.24878e+06
O14737;O14737-2	O14737;O14737-2				301064
O14773	O14773				1.54809e+07
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3				1.36425e+07
O14791-2	O14791;O14791-2;O14791-3				7.47456e+07
O14793	O14793				6.88334e+06
O14917;O14917-2	O14917;O14917-2				8.37954e+06
O14960	O14960				1.06538e+06
O15031	O15031				2.16045e+07
O15041;O15041-2	O15041;O15041-2				508932
O15126;O15126-2	O15126;O15126-2				1.32425e+06
O15197;O15197-3	O15197;O15197-3				1.51778e+07
O15230	O15230				3.6136e+06
O15232;O15232-2	O15232;O15232-2				881431
O15240	O15240				2.66398e+08
O15335	O15335				2.15959e+06
O15354	O15354				1.15151e+07
O15394	O15394;O15394-2				5.91268e+07
O15466;O15466-2	O15466;O15466-2				1.79244e+06
O43157	O43157;O43157-2;O43157-3				9.9485e+06
O43173	O43173				4.41159e+06
O43240	O43240				2.53122e+06
O43278;O43278-2	O43278;O43278-2				5.74318e+06
O43286	O43286				5.11283e+06
O43291	O43291				1.4445e+07
O43300	O43300				5.58625e+06
O43323	O43323				322280
O43405;O43405-2	O43405;O43405-2				2.27432e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				5.52295e+07
O43505	O43505				7.55167e+08
O43508	O43508;O43508-2				1.24027e+06
O43529	O43529				1.27294e+07
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				1.45393e+07
O43567	O43567				4.39861e+07
O43581-2;O43581-3;O43581-5	O43581-2;O43581-3;O43581-5				516264
O43827	O43827				1.08502e+07
O43852;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-10;O43852-11;O43852-12;O43852-13;O43852-14;O43852-2;O43852-3;O43852-4;O43852-5;O43852-6;O43852-7;O43852-8;O43852-9				2.42565e+06
O43854;O43854-2	O43854;O43854-2				565786
O43866	O43866				8.56998e+06
O43916	O43916				1.62658e+06
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				1.74269e+07
O60242	O60242				2.0575e+06
O60243	O60243				6.07242e+06
O60245;O60245-2	O60245;O60245-2				1.56167e+07
O60279	O60279				5.43893e+07
O60291;O60291-2;O60291-3;O60291-4	O60291;O60291-2;O60291-3;O60291-4				1.69784e+06
O60330;O60330-2	O60330;O60330-2				727004
