Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_B12_82872039.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				3.27387e+08
A0A075B6H9	A0A075B6H9				5.17495e+06
A0A075B6I0	A0A075B6I0				1.16562e+07
A0A075B6I1	A0A075B6I1				2.72358e+06
A0A075B6I9	A0A075B6I9				4.70748e+07
A0A075B6J9	A0A075B6J9				1.29349e+07
A0A075B6K4	A0A075B6K4				2.88544e+06
A0A075B6K5	A0A075B6K5				1.73564e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				2.45961e+08
A0A075B6R2	A0A075B6R2				2.04796e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				4.33806e+07
A0A075B6S2	A0A075B6S2;A2NJV5				2.90221e+08
A0A075B6S5	A0A075B6S5				289916
A0A087WSX0	A0A087WSX0;A0A0G2JS06				3.10773e+06
A0A087WSY6	A0A087WSY6				1.78518e+08
A0A087WSZ0	A0A087WSZ0				4.22427e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				2.25012e+08
A0A0A0MS15	A0A0A0MS15				1.27832e+07
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				1.17735e+06
A0A0B4J1U7	A0A0B4J1U7				4.69516e+06
A0A0B4J1V0	A0A0B4J1V0				1.31479e+08
A0A0B4J1V2	A0A0B4J1V2				3.94429e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				1.55946e+08
A0A0B4J1Y8	A0A0B4J1Y8				743273
A0A0B4J1Y9	A0A0B4J1Y9				3.59467e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				4.36459e+06
A0A0C4DH24	A0A0C4DH24				2.65238e+06
A0A0C4DH25	A0A0C4DH25				1.05536e+07
A0A0C4DH29	A0A0C4DH29				29565.3
A0A0C4DH31	A0A0C4DH31				734980
A0A0C4DH33	A0A0C4DH33				559921
A0A0C4DH34	A0A0C4DH34				6.28319e+06
A0A0C4DH35	A0A0C4DH35				6.38733e+06
A0A0C4DH36	A0A0C4DH36				1.26331e+07
A0A0C4DH38	A0A0C4DH38;A0A0J9YXX1				4.09027e+07
A0A0C4DH43	A0A0C4DH43				3.53538e+06
A0A0C4DH67	A0A0C4DH67				2.11942e+07
A0A0G2JS06	A0A0G2JS06				5.54446e+06
A0A0J9YX35	A0A0J9YX35				1.14009e+07
A0A0J9YXX1	A0A0J9YXX1				2.82871e+07
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				161016
A0M8Q6	P0CG04;P0DOY2;P0DOY3;A0M8Q6;P0CF74;B9A064;P0DOX8				1.00913e+08
A1L4H1	A1L4H1				1.67267e+06
A2RU67	A2RU67				148241
A5D6W6	A5D6W6				933183
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				991061
A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7				183528
A6NGN9	A6NGN9				7.02709e+06
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				1.77933e+06
A6NL88	A6NL88				1.18396e+06
A6NLU5	A6NLU5				2.65481e+06
A6NNZ2;P04350;P07437;P68371;Q13509;Q13509-2;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1;Q9H4B7	A6NNZ2;P04350;P07437;P68371;Q13509;Q13885;Q3ZCM7;Q9BUF5;Q9BVA1;Q9H4B7;Q13509-2				440148
A8MTW9	A8MTW9				666835
B9A064;P0DOX8	B9A064;P0DOX8				1.61528e+08
C9JVW0	C9JVW0				7.6733e+06
I3L3R5	I3L3R5				179339
O00115;O00115-2	O00115;O00115-2				3.09899e+06
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				2.76515e+07
O00187;O00187-2	O00187;O00187-2				811371
O00264	O00264;O15173;O15173-2				2.46584e+06
O00299	O00299				412718
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				2.35072e+06
O00391	O00391;O00391-2				1.24344e+07
O00451	O00451;O00451-2;O00451-3				7.83634e+06
O00461	O00461				2.20031e+06
O00462	O00462				4.10775e+06
O00468-6	O00468-6;O00468-7				1.06579e+07
O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9	O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9				725641
O00533	O00533;O00533-2				8.89205e+07
O00533-2	O00533-2				7.22724e+06
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				747046
O00567	O00567				63013.5
O00584	O00584				6.00604e+06
O00754;O00754-2	O00754;O00754-2				1.11274e+06
O14498	O14498				1.16086e+07
O14514	O14514				1.85089e+06
O14522;O14522-1	O14522;O14522-1				1.25382e+06
O14594	O14594				2.349e+07
O14657	O14657				81589.2
O14668;O14668-2	O14668;O14668-2				1.34169e+06
O14672	O14672				3.45492e+06
O14773	O14773				8.00921e+06
O14786	O14786;O14786-2;O14786-3				5.02924e+06
O14791-2	O14791;O14791-2;O14791-3				5.49867e+06
O14793	O14793				2.30051e+06
O14917;O14917-2	O14917;O14917-2				3.41084e+06
O14960	O14960				548342
O15031	O15031				1.01184e+07
O15041;O15041-2	O15041;O15041-2				54389.8
O15126;O15126-2	O15126;O15126-2				812486
O15197;O15197-3	O15197;O15197-3				4.33832e+06
O15204;O15204-2	O15204;O15204-2				3.52269e+06
O15230	O15230				1.41175e+06
O15232;O15232-2	O15232;O15232-2				1.11297e+06
O15240	O15240				1.06359e+08
O15335	O15335				2.38173e+06
O15354	O15354				1.7462e+07
O15394	O15394;O15394-2				2.313e+07
O15466;O15466-2	O15466;O15466-2				822115
O15540;O15540-2	O15540;O15540-2				1.67587e+06
O43155	O43155				703906
O43157	O43157;O43157-2;O43157-3				2.80411e+06
O43173	O43173				1.79086e+06
O43240	O43240				1.11154e+06
O43278;O43278-2	O43278;O43278-2				1.68824e+06
O43286	O43286				478425
O43291	O43291				3.87132e+06
O43300	O43300				1.58791e+06
O43405	O43405;O43405-2				1.39394e+07
O43493;O43493-3;O43493-5;O43493-7	O43493;O43493-3;O43493-5;O43493-7				2.05504e+07
O43505	O43505				3.96399e+08
O43508-2	O43508;O43508-2				867599
O43529	O43529				2.5751e+06
O43556;O43556-3;O43556-4	O43556;O43556-3;O43556-4				5.42276e+06
O43567	O43567				2.47279e+07
O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6	O43581;O43581-2;O43581-3;O43581-4;O43581-5;O43581-6				184762
O43827	O43827				3.19429e+06
O43852;O43852-15;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9	O43852;O43852-15;O43852-2;O43852-3;O43852-4;O43852-5;O43852-9				63751.9
O43854;O43854-2	O43854;O43854-2				143347
O43866	O43866				3.69563e+06
O43897;O43897-2	O43897;O43897-2				671816
O43909	O43909				128940
O60241;O60241-2;O60241-3;O60241-4	O60241;O60241-2;O60241-3;O60241-4				3.69736e+06
