Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_D3_CSF_863-13.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				1.99301e+08
A0A075B6H9	A0A075B6H9				8.24414e+06
A0A075B6I0	A0A075B6I0				1.34241e+07
A0A075B6I1	A0A075B6I1				4.69382e+06
A0A075B6I9;P04211	P04211;A0A075B6I9				1.62493e+07
A0A075B6J9	A0A075B6J9				2.16008e+06
A0A075B6K4	A0A075B6K0;A0A075B6K4				4.21142e+06
A0A075B6K5	A0A075B6K5				5.65186e+06
A0A075B6P5;P01615	P01615;A0A075B6P5				7.57384e+07
A0A075B6R2	A0A075B6R2				9.4784e+06
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				1.42835e+07
A0A075B6S2	A0A075B6S2;A2NJV5				1.50729e+08
A0A075B6S5	A0A075B6S5				2.82018e+06
A0A087WSX0	A0A087WSX0;A0A0G2JS06				2.55412e+06
A0A087WSY6	A0A087WSY6				5.12455e+07
A0A087WW87;P01614	P01614;A0A087WW87				1.58651e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				1.17872e+08
A0A0A0MS15	A0A0A0MS15				9.7928e+06
A0A0A0MT36;A0A0C4DH26	A0A0A0MT36;A0A0C4DH26				499167
A0A0A0MT89	A0A0A0MT89				3.63249e+06
A0A0B4J1U7	A0A0B4J1U7				1.17817e+07
A0A0B4J1V0	A0A0B4J1V0				1.07975e+08
A0A0B4J1V2	A0A0B4J1V2				4.43417e+06
A0A0B4J1X5	P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03				6.0755e+07
A0A0B4J1Y8	A0A0B4J1Y8				4.64633e+06
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				2.61647e+06
A0A0C4DH24	A0A0C4DH24				5.03412e+06
A0A0C4DH25	A0A0C4DH25				2.60554e+07
A0A0C4DH31	A0A0C4DH31				929701
A0A0C4DH33	A0A0C4DH33				717112
A0A0C4DH34	A0A0C4DH34				1.65317e+07
